N п/п,Предприятие,Таб №,ФИО,Дата рождения,Подразделение,Статус,Должность,Код функции,Наименование функции,Дата приема,Дата увольнения,Статья КЗОТ,причина,причина уточн.,Кратко,Название ставки,Категория,Поощрение От,Поощрение До,Уточнение,Основание
1723,ТВЭЛ,733338293, Подшивалова Наталья Романовна ,31395,Finance and IT,Срочный договор,Head of Planning and Analysis Department,111.06,"Планирование, анализ и отчетность  на предприятиях",42597,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
1724,ТВЭЛ,733335140, Дорохова Каролина Германовна ,31065,Hydrocarbon Feedstock Division,Срочный договор,Sales Operations Manager,108.05,Поддержка продаж,40609,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
1725,ТВЭЛ,733336916, Афанасьева Алиса Антониновна ,26599,Basic Polymers Division,Срочный договор,Sales Manager,108.03,Продажи,41306,72686,,,,,,специалисты,42937,72686,,За высокие результаты работы
   1,Группа ГАЗ,1,а,31408,Аналитический центр,Постоянно,Главный эксперт,143.01,Аналитический центр/ Аналитический центр,40518,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
   2,Группа ГАЗ,1,а,27297,,,,,,43252,43315,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
   3,Группа ГАЗ,1,а,33567,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
   4,Группа ГАЗ,1,а,29588,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
   5,Группа ГАЗ,1,а,21976,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
   6,Группа ГАЗ,1,а,28841,,,,,,43252,43312,п 1ч 1 ст 77 ТК РФ,"по соглашению сторон, пункт 1 части первой статьи 77 Трудового кодекса Российской Федерации",по инициативе Работодателя,Текучесть-инициатива_Компании,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
   7,Группа ГАЗ,1,а,28572,Координация и защита бизнеса,Постоянно,Главный эксперт,113.02,Экономическая безопасность. Координация и защита бизнеса,41408,72686,,,,,Администрация,специалисты,42937,72686,,За высокие результаты работы
   8,Группа ГАЗ,1,а,30447,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
   9,Группа ГАЗ,1,а,29605,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  10,Группа ГАЗ,1,а,29009,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  11,Группа ГАЗ,1,а,31172,,,,,,43252,72686,,,,,,,42928,72686,,За высокие результаты работы
  12,Группа ГАЗ,1,а,32490,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  13,Группа ГАЗ,1,а,32268,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  14,Группа ГАЗ,1,а,21964,"Центр ""Надежность и ремонты""",Постоянно,Руководитель центра,102.07,Метрология - служба главного метролога,39042,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  15,Группа ГАЗ,1,а,26996,Метрология и контрольно-измерительные приборы,Постоянно,Менеджер,102.07,Метрология - служба главного метролога,42464,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  16,Группа ГАЗ,1,а,27005,"Антимонопольная работа, правовое сопровождение GR",Постоянно,Руководитель направления,115.01,Юридическая поддержка,39066,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  17,Группа ГАЗ,1,а,34327,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  18,Группа ГАЗ,1,а,30321,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  19,Группа ГАЗ,1,а,31553,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  20,Группа ГАЗ,1,а,31545,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  21,Группа ГАЗ,1,а,28469,"Сопровождение проектов развития, слияния и поглощения",Постоянно,Старший менеджер,119.04,Сопровождение проектов слияния и поглощения,39052,72686,,,,,Администрация,руководители,42937,72686,,За высокие результаты работы
  22,Группа ГАЗ,1,а,32684,,,,,,43252,72686,,,,,,,42983,72686,,За эффективное выстраивание процессов и выполнение на высоком уровне своих трудовых обязанностей
  23,Группа ГАЗ,1,а,34227,,,,,,43252,72686,,,,,,,42983,72686,,За высокие результаты работы и вклад в развитие компании
